id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,突尼斯,2021-11-19 10:23:02,77.0,,68.0,5.0,,,,715988,0,689773,25330,0,0.0
9507896,塞尔维亚,2021-11-19 10:43:02,3219.0,,4873.0,55.0,,,,1225242,0,1131742,11062,0,0.0
0,中国,2021-11-19 17:05:07,42.0,,56.0,0.0,,-13.0,16.0,127417,0,118508,5697,0,9964.0
1,日本本土,2021-11-19 17:33:12,203.0,,183.0,5.0,,,,1725900,0,1706112,18336,0,0.0
2,泰国,2021-11-19 10:23:01,6901.0,,7556.0,55.0,,,,2044125,0,1933199,20252,0,0.0
3,新加坡,2021-11-19 10:23:02,2038.0,,3772.0,6.0,,,,246853,0,224682,625,0,0.0
4,韩国,2021-11-19 10:23:01,3290.0,,1489.0,29.0,,,,406065,0,367578,3187,0,0.0
5,澳大利亚,2021-11-19 11:33:04,1279.0,,1684.0,15.0,,,,194119,0,175282,1922,0,0.0
6,德国,2021-11-19 10:43:01,64164.0,,23300.0,261.0,,,,5233821,0,4564200,99169,0,0.0
7,美国,2021-11-19 10:43:02,99146.0,,69289.0,1147.0,,,,48398455,0,38330073,789155,0,0.0
8,马来西亚,2021-11-19 10:23:02,6380.0,,5760.0,55.0,,,,2569533,0,2472283,29892,0,0.0
9,越南,2021-11-19 10:23:02,10223.0,,6723.0,139.0,,,,1065469,0,881593,23476,0,0.0
89566,圣巴泰勒米,2020-06-12 17:03:12,,,,,,,,6,0,6,0,0,
821,肯尼亚,2021-11-19 10:23:02,88.0,,26.0,0.0,,,,254541,0,247817,5325,0,0.0
826,伊朗,2021-11-19 10:43:02,5882.0,,12306.0,103.0,,,,6063775,0,5746487,128634,0,0.0
827,以色列,2021-11-19 20:33:19,467.0,,588.0,0.0,,,,1339417,0,1325876,8154,0,0.0
828,毛利亚尼亚,2020-06-09 19:59:04,,,,,,,,16,0,6,2,0,
829,黎巴嫩,2021-11-19 10:23:02,1018.0,,740.0,10.0,,,,656192,0,626053,8616,0,0.0
833,克罗地亚,2021-11-19 10:43:02,7270.0,,5317.0,63.0,,,,558270,0,509123,10113,0,0.0
834,奥地利,2021-11-19 10:23:02,15145.0,,9278.0,55.0,,,,1011465,0,867601,11903,0,0.0
835,瑞士,2021-11-19 10:43:01,6017.0,,1557.0,4.0,,,,935042,0,847640,11380,0,0.0
839,希腊,2021-11-19 10:23:02,7276.0,,6267.0,63.0,,,,861117,0,763609,17075,0,0.0
95800,毛里求斯,2021-11-19 00:04:49,0.0,,0.0,0.0,,,,18979,0,1854,240,0,0.0
845,爱沙尼亚,2021-11-19 17:33:12,872.0,,1341.0,7.0,,,,215366,0,188362,1714,0,0.0
846,北马其顿,2021-11-19 10:23:02,491.0,,532.0,23.0,,,,210938,0,195157,7390,0,0.0
850,白俄罗斯,2021-11-19 10:43:02,1844.0,,2894.0,13.0,,,,634731,0,616992,4901,0,0.0
851,立陶宛,2021-11-19 16:23:10,2155.0,,2783.0,31.0,,,,450561,0,411297,6444,0,0.0
852,阿塞拜疆,2021-11-19 10:43:02,2124.0,,2669.0,27.0,,,,568089,0,530774,7551,0,0.0
875097,美属维尔京群岛,2020-06-12 17:06:26,,,,,,,,72,0,46,6,0,
95826,蒙古,2020-06-15 13:26:49,,,,,,,,197,0,98,0,0,
872,乌克兰,2021-11-19 10:23:02,20591.0,,19633.0,752.0,,,,3284008,0,2704217,79506,0,0.0
874,波兰,2021-11-19 18:23:14,24899.0,,11367.0,372.0,,,,3279804,0,2843270,79996,0,0.0
879,波黑,2021-11-19 10:43:01,857.0,,0.0,27.0,,,,267851,0,192218,12180,0,0.0
80902,蒙特塞拉特,2020-06-12 17:02:32,,,,,,,,11,0,10,1,0,
880,南非,2021-11-19 10:43:02,585.0,,99.0,40.0,,,,2927499,0,2820613,89555,0,0.0
95198,布隆迪,2020-06-15 14:48:50,,,,,,,,85,0,45,1,0,
95215522,南苏丹,2021-11-19 10:23:02,0.0,,0.0,0.0,,,,12609,0,12169,133,0,0.0
893,马耳他,2021-11-19 10:43:01,66.0,,32.0,0.0,,,,38449,0,36890,462,0,0.0
896,摩尔多瓦,2021-11-19 10:43:01,802.0,,1001.0,48.0,,,,356448,0,337460,8709,0,0.0
897,保加利亚,2021-11-19 10:23:02,2785.0,,4484.0,145.0,,,,668363,0,532234,26985,0,0.0
898,孟加拉,2021-11-19 10:43:02,244.0,,294.0,5.0,,,,1573458,0,1537518,27939,0,0.0
899,阿尔巴尼亚,2020-06-15 10:20:56,,0.0,,,0.0,,,1521,0,1044,36,0,
950000,巴勒斯坦,2021-11-19 10:23:02,221.0,,265.0,3.0,,,,427594,0,420334,4502,0,0.0
