id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,突尼斯,2021-12-18 10:36:03,0.0,,0.0,0.0,,,,720518,0,693471,25450,0,0.0
9507896,塞尔维亚,2021-12-18 10:36:03,1199.0,,2149.0,30.0,,,,1280644,0,1240267,12336,0,0.0
0,中国,2021-12-18 14:16:02,162.0,,33.0,0.0,,129.0,36.0,129592,0,119916,5698,0,10584.0
1,日本本土,2021-12-18 10:46:03,193.0,,128.0,2.0,,,,1729401,0,1709967,18378,0,0.0
2,泰国,2021-12-18 10:26:02,3537.0,,5459.0,41.0,,,,2185497,0,2120691,21325,0,0.0
3,新加坡,2021-12-18 10:26:02,412.0,,570.0,1.0,,,,275384,0,270353,809,0,0.0
4,韩国,2021-12-18 10:36:02,7434.0,,3839.0,73.0,,,,551551,0,448809,4591,0,0.0
5,澳大利亚,2021-12-18 10:46:03,3798.0,,1446.0,8.0,,,,242767,0,218104,2134,0,0.0
6,德国,2021-12-18 10:36:02,48375.0,,60800.0,452.0,,,,6757593,0,5679400,108606,0,0.0
7,美国,2021-12-18 10:26:02,163707.0,,66544.0,1653.0,,,,51610281,0,40474346,826719,0,0.0
8,马来西亚,2021-12-18 10:36:03,4362.0,,5098.0,18.0,,,,2711764,0,2625245,31044,0,0.0
9,越南,2021-12-18 10:26:02,15236.0,,31057.0,246.0,,,,1508473,0,1095518,29103,0,0.0
89566,圣巴泰勒米,2020-06-12 17:03:12,,,,,,,,6,0,6,0,0,
821,肯尼亚,2021-12-18 10:36:03,1609.0,,38.0,3.0,,,,260166,0,249192,5353,0,0.0
826,伊朗,2021-12-18 10:36:03,2196.0,,4836.0,46.0,,,,6167650,0,5995734,130992,0,0.0
827,以色列,2021-12-18 10:26:02,720.0,,0.0,0.0,,,,1354001,0,1338654,8230,0,0.0
828,毛利亚尼亚,2020-06-09 19:59:04,,,,,,,,16,0,6,2,0,
829,黎巴嫩,2021-12-18 10:36:02,1606.0,,2182.0,12.0,,,,697774,0,646262,8912,0,0.0
833,克罗地亚,2021-12-18 10:36:03,3778.0,,3875.0,54.0,,,,669940,0,634130,11879,0,0.0
834,奥地利,2021-12-18 10:36:02,2899.0,,5690.0,52.0,,,,1245232,0,1180605,13438,0,0.0
835,瑞士,2021-12-18 10:36:02,5397.0,,5574.0,24.0,,,,1169968,0,916036,11967,0,0.0
839,希腊,2021-12-18 10:36:03,4761.0,,3428.0,85.0,,,,1026902,0,946570,19736,0,0.0
95800,毛里求斯,2021-12-18 10:26:02,54.0,,42.0,0.0,,,,22869,0,21303,680,0,0.0
845,爱沙尼亚,2021-12-18 10:36:03,603.0,,607.0,5.0,,,,231117,0,215965,1874,0,0.0
846,北马其顿,2021-12-18 10:36:03,327.0,,325.0,16.0,,,,220794,0,207563,7794,0,0.0
850,白俄罗斯,2021-12-18 10:36:03,1644.0,,1828.0,17.0,,,,681517,0,672829,5355,0,0.0
851,立陶宛,2021-12-18 10:36:02,1558.0,,1657.0,8.0,,,,499262,0,464622,7069,0,0.0
852,阿塞拜疆,2021-12-18 10:36:03,755.0,,1671.0,18.0,,,,608815,0,583914,8167,0,0.0
875097,美属维尔京群岛,2020-06-12 17:06:26,,,,,,,,72,0,46,6,0,
95826,蒙古,2020-06-15 13:26:49,,,,,,,,197,0,98,0,0,
872,乌克兰,2021-12-18 10:36:03,8899.0,,21650.0,328.0,,,,3597046,0,3306465,92641,0,0.0
874,波兰,2021-12-18 10:36:03,20027.0,,24693.0,566.0,,,,3923472,0,3386221,90872,0,0.0
879,波黑,2021-12-18 10:26:02,488.0,,0.0,30.0,,,,284272,0,192218,13121,0,0.0
80902,蒙特塞拉特,2020-06-12 17:02:32,,,,,,,,11,0,10,1,0,
880,南非,2021-12-18 10:26:02,20713.0,,20498.0,35.0,,,,3276529,0,2975417,90297,0,0.0
95198,布隆迪,2020-06-15 14:48:50,,,,,,,,85,0,45,1,0,
95215522,南苏丹,2021-12-18 10:36:03,260.0,,38.0,0.0,,,,13309,0,12614,133,0,0.0
893,马耳他,2021-12-18 10:26:02,221.0,,153.0,0.0,,,,41280,0,38797,471,0,0.0
896,摩尔多瓦,2021-12-18 10:36:02,440.0,,323.0,16.0,,,,371850,0,356929,9466,0,0.0
897,保加利亚,2021-12-18 10:46:03,1614.0,,1416.0,81.0,,,,723433,0,598212,30014,0,0.0
898,孟加拉,2021-12-18 10:36:03,191.0,,145.0,2.0,,,,1580750,0,1545259,28043,0,0.0
899,阿尔巴尼亚,2020-06-15 10:20:56,,0.0,,,0.0,,,1521,0,1044,36,0,
950000,巴勒斯坦,2021-12-18 10:36:02,333.0,,363.0,4.0,,,,435806,0,427253,4594,0,0.0
95kml,科摩罗,2020-06-15 13:47:09,,,,,,,,176,0,114,2,0,
953333,阿富汗,2021-12-18 10:26:02,9.0,,0.0,0.0,,,,157734,0,145507,7332,0,0.0
95888822,沙特阿拉伯,2021-12-18 10:36:03,80.0,,92.0,2.0,,,,550622,0,539885,8860,0,0.0
9511123,新西兰,2021-12-18 10:36:02,79.0,,194.0,1.0,,,,13317,0,11165,49,0,0.0
95333,塔吉克斯坦,2021-12-18 00:00:49,0.0,,0.0,0.0,,,,17095,0,16966,124,0,0.0
83356,泽西岛,2020-06-15 13:25:33,,,,,,,,313,0,292,15,0,0.0
954467,叙利亚,2020-06-15 13:51:09,,0.0,,,0.0,,,177,0,74,6,0,
95327,巴拿马,2021-12-18 10:36:03,447.0,,274.0,1.0,,,,482677,0,471413,7398,0,0.0
95329,古巴,2021-12-18 10:36:02,73.0,,60.0,0.0,,,,963958,0,955259,8313,0,0.0
9511111,尼日利亚,2021-12-18 10:26:02,1584.0,,28.0,1.0,,,,222655,0,211373,2984,0,0.0
95858585,摩洛哥,2021-12-18 10:46:03,209.0,,232.0,2.0,,,,952398,0,936277,14804,0,0.0
9500222,塞内加尔,2021-12-18 10:36:03,14.0,,6.0,0.0,,,,74129,0,72191,1886,0,0.0
95118,老挝,2020-06-15 14:24:59,,,,,,,,19,0,19,0,0,
95350,巴哈马,2021-12-18 10:46:03,24.0,,17.0,0.0,,,,22995,0,21683,713,0,0.0
84226,马约特岛,2021-12-18 10:36:02,41.0,,0.0,0.0,,,,21180,0,2964,185,0,0.0
954444,斯洛文尼亚,2021-12-18 10:36:03,1278.0,,1727.0,12.0,,,,446506,0,421617,5464,0,0.0
95103,卢森堡,2021-12-18 10:26:02,349.0,,565.0,1.0,,,,96108,0,89457,898,0,0.0
95106,爱尔兰,2021-12-18 10:36:02,3595.0,,3632.0,0.0,,,,644143,0,505210,5835,0,0.0
95102,厄瓜多尔,2021-12-18 10:36:03,715.0,,0.0,7.0,,,,536129,0,443880,33593,0,0.0
957777,捷克,2021-12-18 10:36:03,9488.0,,428.0,45.0,,,,2388253,0,2108335,35046,0,0.0
9522222,匈牙利,2021-12-18 10:46:03,4977.0,,10165.0,154.0,,,,1218295,0,1026254,37530,0,0.0
8101,法属圭亚那,2021-12-18 10:46:03,42.0,,0.0,1.0,,,,46732,0,11254,336,0,0.0
8102,多哥共和国,2020-06-15 11:45:39,,,,,,,,530,0,291,13,0,0.0
8100,哥斯达黎加,2021-12-18 10:36:02,110.0,,158.0,4.0,,,,568538,0,559654,7340,0,0.0
8105,文莱,2021-12-18 10:26:02,9.0,,16.0,0.0,,,,15385,0,15074,98,0,0.0
8103,法罗群岛,2020-06-15 13:46:38,,,,,,,,187,0,187,0,0,0.0
8104,马提尼克岛,2021-12-18 00:00:49,0.0,,0.0,0.0,,,,46700,0,104,749,0,0.0
95120,荷兰,2021-12-18 10:36:03,15367.0,,20705.0,60.0,,,,2952128,0,2334922,20370,0,0.0
951234567,巴西,2021-12-18 10:36:02,4079.0,,0.0,126.0,,,,22209020,0,21414318,617647,0,0.0
8115,洪都拉斯,2021-12-18 10:36:03,50.0,,408.0,4.0,,,,378735,0,123190,10428,0,0.0
95394,乌拉圭,2021-12-18 10:36:03,317.0,,221.0,1.0,,,,403899,0,395155,6150,0,0.0
95390,秘鲁,2021-12-18 10:06:02,1724.0,,0.0,84.0,,,,2260180,0,1720665,202076,0,0.0
956666,智利,2021-12-18 10:36:03,1433.0,,2074.0,39.0,,,,1789109,0,1693803,38812,0,0.0
95389,格陵兰,2021-12-18 10:36:03,32.0,,8.0,0.0,,,,1969,0,1736,0,0,0.0
95382,圣巴托洛谬岛,2020-06-12 17:03:05,,,,,,,,6,0,6,0,0,
950101010,马尔代夫,2021-12-18 10:46:03,104.0,,59.0,0.0,,,,93733,0,91405,259,0,0.0
95384,委内瑞拉,2021-12-18 10:26:02,386.0,,405.0,7.0,,,,440784,0,429050,5272,0,0.0
8134,毛里塔尼亚,2021-12-18 10:36:03,26.0,,41.0,0.0,,,,39990,0,38670,852,0,0.0
8135,纳米比亚,2020-06-15 00:00:31,,,,,,,,31,0,17,0,0,
8132,法属留尼汪岛,2020-06-15 13:04:24,,,,,,,,487,0,447,1,0,0.0
8133,波多黎各,2020-06-13 11:26:34,0.0,0.0,0.0,0.0,0.0,,0.0,5536,0,0,146,0,0.0
